City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Medal
Montreal,1976,Aquatics,Diving,3m springboard,KÖHLER  Christa,Women,GDR,Silver
Montreal,1976,Aquatics,Diving,3m springboard,KOSENKOV  Aleksandr,Men,URS,Bronze
Montreal,1976,Aquatics,Diving,3m springboard,BOGGS  Philip George,Men,USA,Gold
Montreal,1976,Aquatics,Diving,3m springboard,CAGNOTTO  Giorgio Franco,Men,ITA,Silver
Montreal,1976,Aquatics,Diving,10m platform,WILSON  Deborah Keplar,Women,USA,Bronze
Montreal,1976,Aquatics,Diving,10m platform,LOUGANIS  Gregory,Men,USA,Silver
Montreal,1976,Aquatics,Diving,10m platform,VAYTSEKHOVSKAYA  Elena,Women,URS,Gold
Montreal,1976,Aquatics,Diving,3m springboard,POTTER-MCINGVALE  Cynthia,Women,USA,Bronze
Montreal,1976,Aquatics,Diving,10m platform,DIBIASI  Klaus,Men,ITA,Gold
Montreal,1976,Aquatics,Diving,10m platform,ALEINIK  Vladimir,Men,URS,Bronze
Montreal,1976,Aquatics,Diving,10m platform,KNAPE-LINDBERGH  Ulrika,Women,SWE,Silver
Montreal,1976,Aquatics,Diving,3m springboard,CHANDLER  Jennifer Kay,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,BABASHOFF  Shirley Farber,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,SHAW  Timothy Andrew,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,PRIEMER  Petra,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,1500m freestyle,HOLLAND  Stephen,Men,AUS,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,SMIRNOV  Andrei,Men,URS,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,ANKE  Hannelore,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,800m freestyle,BABASHOFF  Shirley Farber,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,800m freestyle,THÜMER  Petra,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,SMITH  Rebecca,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,ROCCA  Peter Drake,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,GOODELL  Brian Stuart,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,MCKEE  Alexander Timothy,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,EVANS  Clayton,Men,CAN,Silver
Montreal,1976,Aquatics,Swimming,200m freestyle,MONTGOMERY  James Paul,Men,USA,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,VOGEL  Matthew Haynes,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,MATTHES  Roland,Men,GDR,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,NABER  John Phillips,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,ROCCA  Peter Drake,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,KRAUS  Michael,Men,FRG,Bronze
Montreal,1976,Aquatics,Swimming,200m freestyle,BRIGITHA  Enith,Women,NED,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,DUNNE  David Michael,Men,GBR,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,NABER  John Phillips,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,HEMPEL  Claudia,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,MAC DONALD  Gary,Men,CAN,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,BOGDANOV  Andrei,Men,URS,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,HALL  Gary Wayne,Men,USA,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,SMITH  Rebecca,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,KOSHEVAYA  Marina,Women,URS,Gold
Montreal,1976,Aquatics,Swimming,200m backstroke,GARAPICK  Nancy Ellen,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,800m freestyle,WEINBERG  Wendy Elizabeth,Women,USA,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,MONTGOMERY  James Paul,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,RASKATOV  Vladimir,Men,URS,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,ENDER  Kornelia,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,JARDIN  Anne Elizabeth,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,YOZAITIS  Arvidas,Men,URS,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,WRIGHT  Camille,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,KRYLOV  Andrei,Men,URS,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,DOWNIE  Gordon Hunter,Men,GBR,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,WILKIE  David Andrew,Men,GBR,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,PEYTON  Kim Marie,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,MONTGOMERY  James Paul,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,TAUBER  Ulrike,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,CLARK  Barbara Lynny,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,AMUNDRUD  Gail,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,ENDER  Kornelia,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,BRUNER  Michael Lee,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,GIBSON  Cheryl,Women,CAN,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,NABER  John Phillips,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,ENDER  Kornelia,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,100m butterfly,BOGLIOLI  Wendy Lansbach,Women,USA,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,SMITH  Graham,Men,CAN,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,VOGEL  Matthew Haynes,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,SMITH-SLOAN  Susan Estelle,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,COOK-HOGG  Wendy,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,POLLACK  Andrea,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,BOTTOM  Joseph Stuart,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,THÜMER  Petra,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,RICHTER  Ulrike,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,FURNISS  Bruce Macfarlane,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,KOSHEVAYA  Marina,Women,URS,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,GREGG  Steven Garrett,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,ENDER  Kornelia,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,MCCLATCHEY  Alan,Men,GBR,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,RUSANOVA  Lyubov,Women,URS,Silver
Montreal,1976,Aquatics,Swimming,400m individual medley,STRACHAN  Rodney,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,RASKATOV  Vladimir,Men,URS,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,TAUBER  Ulrike,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,GOODELL  Brian Stuart,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,PICKELL  Stephen,Men,CAN,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,HARRIGAN  Daniel Lee,Men,USA,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,KOTHER-GABRIEL  Rosemarie,Women,GDR,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,POLLACK  Andrea,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,MONTGOMERY  James Paul,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,200m breaststroke,YURCHENYA  Marina,Women,URS,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,TREIBER  Birgit,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,RUSANOVA  Lyubov,Women,URS,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,BOGLIOLI  Wendy Lansbach,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,BRUNER  Michael Lee,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,BABASHOFF  Shirley Farber,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,TREIBER  Birgit,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,HENCKEN  John Frederick,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,BABASHOFF  Jack  Jr.,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,200m butterfly,POLLACK  Andrea,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,BRIGITHA  Enith,Women,NED,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,SIERING  Laura Gail,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,BABASHOFF  Shirley Farber,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,KOPLYAKOV  Sergei,Men,URS,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,COLELLA  Richard Phillip Jr.,Men,USA,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,NABER  John Phillips,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,BABASHOFF  Shirley Farber,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,GARAPICK  Nancy Ellen,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,STEINBACH  Klaus,Men,FRG,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,STERKEL  Gillian Ann,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,NOCKE  Peter,Men,FRG,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,FORRESTER  William Ronald  Jr.,Men,USA,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,NOCKE  Peter,Men,FRG,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,HENCKEN  John Frederick,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,ANKE  Hannelore,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,POLLACK  Andrea,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,KUSCH  Walter,Men,FRG,Bronze
Montreal,1976,Aquatics,Swimming,400m freestyle,SMITH  Shannon,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,CORSIGLIA  Robin Marie,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,RICHTER  Ulrike,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,HACKETT  Robert William,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,100m breaststroke,WILKIE  David Andrew,Men,GBR,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,BRINKLEY  Brian,Men,GBR,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,HENCKEN  John Frederick,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,NABER  John Phillips,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,FURNISS  Bruce Macfarlane,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,JEZEK  Linda Louise,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,PRIEMER  Petra,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,JARDIN  Anne Elizabeth,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,RICHTER  Ulrike,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,ENDER  Kornelia,Women,GDR,Gold
Montreal,1976,Aquatics,Water polo,water polo,DE ZWARTE  Pieter,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,VEER  Jan Evert,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,KROON  Evert Gerrit,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,HORKAI  Gyorgy,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,CASTAGNOLA  Luigi,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,SMITS  Hans,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,STROBOER  Gijsbert (Gijs),Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,CSAPO  Gabor,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,CSERVENYAK  Tibor,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,GERENDAS  Gyorgy,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,BUUNK  Antoon G.J.,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,SUDAR  Attila,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,KENEZ  Gyorgy,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,MOLNAR  Endre,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,BOEGSCHOTEN  Alexander,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,SAROSI  Laszlo,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,DEL DUCA  Marcello,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,SIMEONI  Roldano,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,ALBERANI SAMARITANI  Alberto,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,BARACCHINI  Silvio,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,PANERAI  Umberto,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,MARSILI  Sante,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,DE MAGISTRIS  Gianni,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,KONRAD  Ferenc,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,TOONEN  Hendrik (Rik),Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,DE MAGISTRIS  Riccardo,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,SZIVOS  Istvan,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,LANDEWEERD  Nicolaas,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,FARAGO  Tamas,Men,HUN,Gold
Montreal,1976,Aquatics,Water polo,water polo,HOEPELMAN  Andries,Men,NED,Bronze
Montreal,1976,Aquatics,Water polo,water polo,GHIBELLINI  Alessandro,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,D  Vincenzo,Men,ITA,Silver
Montreal,1976,Aquatics,Water polo,water polo,VAN ZEELAND  Hans,Men,NED,Bronze
Montreal,1976,Archery,Archery,individual FITA round,RYON  Luann Marie,Women,USA,Gold
Montreal,1976,Archery,Archery,individual FITA round,PACE  Darrell Owen,Men,USA,Gold
Montreal,1976,Archery,Archery,individual FITA round,MICHINAGA  Hiroshi,Men,JPN,Silver
Montreal,1976,Archery,Archery,individual FITA round,FERRARI  Giancarlo,Men,ITA,Bronze
Montreal,1976,Archery,Archery,individual FITA round,RUSTAMOVA  Zebiniso,Women,URS,Bronze
Montreal,1976,Archery,Archery,individual FITA round,KOVPAN  Valentina,Women,URS,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,STROPAHL-STREIDT  Ellen,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,RICHTER-IRRGANG  Annegret,Women,FRG,Silver
Montreal,1976,Athletics,Athletics,long jump,ROBINSON  Arnie,Men,USA,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,HERRMANN  Bernd,Men,FRG,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,FRAZIER  Herman Ronald,Men,USA,Gold
Montreal,1976,Athletics,Athletics,high jump,WITSCHAS-ACKERMANN  Rosemarie,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,100m hurdles,SCHALLER-KLIER  Johanna,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,400m,JUANTORENA  Alberto,Men,CUB,Gold
Montreal,1976,Athletics,Athletics,5000m,HILDENBRAND  Klaus-Peter,Men,FRG,Bronze
Montreal,1976,Athletics,Athletics,100m,STECHER  Renate,Women,GDR,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,RIDDICK  Steven Earl,Men,USA,Gold
Montreal,1976,Athletics,Athletics,pentathlon,BODNER-LASER  Christine,Women,GDR,Silver
Montreal,1976,Athletics,Athletics,long jump,WARTENBERG  Frank,Men,GDR,Bronze
Montreal,1976,Athletics,Athletics,200m,EVANS  Dwayne Eugene,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,200m,HAMPTON  Millard Frank Jr.,Men,USA,Silver
Montreal,1976,Athletics,Athletics,hammer throw,SEDYKH  Yuri,Men,URS,Gold
Montreal,1976,Athletics,Athletics,pentathlon,POLLAK  Burglinde,Women,GDR,Bronze
Montreal,1976,Athletics,Athletics,decathlon,AVILOV  Nikolai,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,high jump,STONES  Dwight Edwin,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,800m,WOHLHUTER  Richard Charles,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,100m hurdles,ANISIMOVA  Tatiana,Women,URS,Silver
Montreal,1976,Athletics,Athletics,800m,KAZANKINA  Tatiana,Women,URS,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,WERNER  Jan,Men,POL,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,THIEME  Alexander,Men,GDR,Silver
Montreal,1976,Athletics,Athletics,200m,STECHER  Renate,Women,GDR,Bronze
Montreal,1976,Athletics,Athletics,shot put,BARYSHNIKOV  Aleksandr,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,high jump,JOY  Gregory,Men,CAN,Silver
Montreal,1976,Athletics,Athletics,hammer throw,BONDARCHUK  Anatoli,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,100m,BORZOV  Valery,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,800m,CHTEREVA  Nikolina,Women,BUL,Silver
Montreal,1976,Athletics,Athletics,3000m steeplechase,MALINOWSKI  Bronislaw,Men,POL,Silver
Montreal,1976,Athletics,Athletics,1500m,HOFFMEISTER  Gunhild,Women,GDR,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,INGRAM  Sheila Rena,Women,USA,Silver
Montreal,1976,Athletics,Athletics,triple jump,BUTTS  James A.,Men,USA,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,PARKS  Maxwell Lander,Men,USA,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,ANISIMOVA  Vera,Women,URS,Bronze
Montreal,1976,Athletics,Athletics,discus throw,SCHMIDT  Wolfgang,Men,GDR,Silver
Montreal,1976,Athletics,Athletics,javelin throw,SCHMIDT  Kathryn Joan,Women,USA,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,BRYANT  Rosalyn Evette,Women,USA,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,OELSNER-GÖHR  Marlies,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,1500m,WELLMANN  Paul-Heinz,Men,FRG,Bronze
Montreal,1976,Athletics,Athletics,discus throw,POWELL  John Gates,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,BESFAMILNAYA  Nadezhda,Women,URS,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,PODLAS  Ryszard,Men,POL,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,KOLESNIKOV  Nikolai,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,1500m,WALKER  John,Men,NZL,Gold
Montreal,1976,Athletics,Athletics,800m,ZINN  Elfi,Women,GDR,Bronze
Montreal,1976,Athletics,Athletics,1500m,KAZANKINA  Tatiana,Women,URS,Gold
Montreal,1976,Athletics,Athletics,marathon,CIERPINSKI  Waldemar,Men,GDR,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,KRIEG  Lothar,Men,FRG,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,BODENDORF  Carla,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,PFEIFER  Jörg,Men,GDR,Silver
Montreal,1976,Athletics,Athletics,800m,VAN DAMME  Ivo,Men,BEL,Silver
Montreal,1976,Athletics,Athletics,1500m,VAN DAMME  Ivo,Men,BEL,Silver
Montreal,1976,Athletics,Athletics,110m hurdles,DAVENPORT  Willie,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,20km walk,BAUTISTA ROCHA  Daniel,Men,MEX,Gold
Montreal,1976,Athletics,Athletics,discus throw,SCHLAAK-JAHL  Evelin,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,100m,RICHTER-IRRGANG  Annegret,Women,FRG,Gold
Montreal,1976,Athletics,Athletics,200m,ECKERT-WÖCKEL  Bärbel,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,PIETRZYK  Jerzy,Men,POL,Silver
Montreal,1976,Athletics,Athletics,400m,BREHMER-LATHAN  Christina,Women,GDR,Silver
Montreal,1976,Athletics,Athletics,shot put,CHRISTOVA-TODOROVA  Ivanka Mikailova,Women,BUL,Gold
Montreal,1976,Athletics,Athletics,pentathlon,SIEGL  Siegrun,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,MALETZKI  Doris,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,100m hurdles,LEBEDEVA  Natalya,Women,URS,Bronze
Montreal,1976,Athletics,Athletics,decathlon,KRATSCHMER  Guido,Men,FRG,Silver
Montreal,1976,Athletics,Athletics,shot put,BEYER  Udo,Men,GDR,Gold
Montreal,1976,Athletics,Athletics,3000m steeplechase,BAUMGARTL  Frank,Men,GDR,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,CHISTYAKOVA-SOKOLOVA  Natalya,Women,URS,Bronze
Montreal,1976,Athletics,Athletics,shot put,MIRONOV  Yevgeni,Men,URS,Silver
Montreal,1976,Athletics,Athletics,400m hurdles,SHINE  Michael Lyle,Men,USA,Silver
Montreal,1976,Athletics,Athletics,400m hurdles,MOSES  Edwin,Men,USA,Gold
Montreal,1976,Athletics,Athletics,decathlon,JENNER  William Bruce,Men,USA,Gold
Montreal,1976,Athletics,Athletics,3000m steeplechase,GARDERUD  Anders,Men,SWE,Gold
Montreal,1976,Athletics,Athletics,pole vault,SLUSARSKI  Tadeusz,Men,POL,Gold
Montreal,1976,Athletics,Athletics,long jump,VOIGT  Angela,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,HAMPTON  Millard Frank Jr.,Men,USA,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,SILOVS  Yuris,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,20km walk,FRENKEL  Peter,Men,GDR,Bronze
Montreal,1976,Athletics,Athletics,100m,QUARRIE  Donald,Men,JAM,Silver
Montreal,1976,Athletics,Athletics,pole vault,ROBERTS  David Luther,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,400m,FRAZIER  Herman Ronald,Men,USA,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,HELTEN  Inge,Women,FRG,Silver
Montreal,1976,Athletics,Athletics,triple jump,SANEEV  Viktor,Men,URS,Gold
Montreal,1976,Athletics,Athletics,400m,STROPAHL-STREIDT  Ellen,Women,GDR,Bronze
Montreal,1976,Athletics,Athletics,5000m,VIREN  Lasse,Men,FIN,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,ECKERT-WÖCKEL  Bärbel,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,BREHMER-LATHAN  Christina,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,10000m,VIREN  Lasse,Men,FIN,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,JAREMSKI  Zbigniew,Men,POL,Silver
Montreal,1976,Athletics,Athletics,long jump,WILLIAMS  Randel Luvelle,Men,USA,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,KURRAT  Klaus-Dieter,Men,GDR,Silver
Montreal,1976,Athletics,Athletics,10000m,FOSTER  Brendan,Men,GBR,Bronze
Montreal,1976,Athletics,Athletics,javelin throw,NEMETH  Miklos,Men,HUN,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,KLIMOVOCHA  Inta,Women,URS,Bronze
Montreal,1976,Athletics,Athletics,marathon,SHORTER  Frank Charles,Men,USA,Silver
Montreal,1976,Athletics,Athletics,shot put,CHIZHOVA  Nadezhda,Women,URS,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,AKSENOVA  Lyudmila,Women,URS,Bronze
Montreal,1976,Athletics,Athletics,javelin throw,MEGELEA  Gheorghe,Men,ROU,Bronze
Montreal,1976,Athletics,Athletics,5000m,QUAX  Dick Theodorus,Men,NZL,Silver
Montreal,1976,Athletics,Athletics,20km walk,REIMANN  Hans,Men,GDR,Silver
Montreal,1976,Athletics,Athletics,high jump,WSZOLA  Jacek,Men,POL,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,NEWHOUSE  Frederick Vaughn,Men,USA,Gold
Montreal,1976,Athletics,Athletics,javelin throw,FUCHS  Ruth,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,GLANCE  Harvey Edward,Men,USA,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,ROHDE  Brigitte,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,long jump,MCMILLAN  Catherine Laverne,Women,USA,Silver
Montreal,1976,Athletics,Athletics,high jump,BLAGOEVA-DIMITROVA  Yordanka,Women,BUL,Bronze
Montreal,1976,Athletics,Athletics,400m hurdles,GAVRILENKO  Yevgeni,Men,URS,Bronze
Montreal,1976,Athletics,Athletics,marathon,LISMONT  Karel,Men,BEL,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,POSSEKEL  Elvira,Women,FRG,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,STECHER  Renate,Women,GDR,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,BROWN  Benjamin Gene,Men,USA,Gold
Montreal,1976,Athletics,Athletics,200m,RICHTER-IRRGANG  Annegret,Women,FRG,Silver
Montreal,1976,Athletics,Athletics,200m,QUARRIE  Donald,Men,JAM,Gold
Montreal,1976,Athletics,Athletics,10000m,LOPES  Carlos,Men,POR,Silver
Montreal,1976,Athletics,Athletics,400m,NEWHOUSE  Frederick Vaughn,Men,USA,Silver
Montreal,1976,Athletics,Athletics,javelin throw,SIITONEN  Hannu Juhani,Men,FIN,Silver
